,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
79,112,Greg Monroe,C,26,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,4.8,8.9,0.536,0.5329999999999999,2.2,3.0,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,MIL,81,22.5,1.08,0.47,1.55,5.34,13.9,96.98,42,17.15,271.0,9.0,7.0
80,113,Steven Adams,C,23,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,OKC,80,29.9,-0.3,1.68,1.38,7.01,9.7,101.16,47,3.14,1132.0,36.0,99.0
81,115,Ricky Rubio,PG,26,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.44299999999999995,0.44799999999999995,3.4,3.8,0.8909999999999999,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,MIN,75,32.9,1.73,0.76,2.49,8.72,11.4,97.07,28,13.55,763.0,262.5,76.0
82,116,Jerryd Bayless,PG,28,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.33299999999999996,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,PHI,3,23.7,-2.23,-0.47,-2.7,0.02,9.7,97.84,1,9.42,188.0,2.0,5.0
83,119,Emmanuel Mudiay,PG,20,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3.0,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,DEN,55,25.6,-1.52,-2.38,-3.9,-0.71,7.4,101.93,25,3.24,545.0,69.0,21.0
84,120,Terrence Ross,SF,25,25.1,4.2,9.6,0.43700000000000006,1.8,5.0,0.363,2.4,4.6,0.518,0.532,0.8,1.0,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11.0,ORL/TOR,78,25.1,1.36,-1.23,0.13,4.06,7.8,99.82,39,10.0,446.5,0.0,0.0
85,122,Thaddeus Young,PF,28,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0,IND,74,30.2,-1.09,1.94,0.85,5.66,9.7,98.97,40,14.15,269.0,0.0,1.5
86,123,J.J. Barea,PG,32,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,DAL,35,22.0,0.15,-1.57,-1.42,0.8,13.4,95.14,11,4.1,5.0,0.0,17.5
87,124,Justise Winslow,SF,20,34.7,4.4,12.5,0.35600000000000004,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,MIA,18,34.7,-4.08,0.16,-3.92,-0.31,5.9,97.53,4,2.59,573.0,88.5,33.5
88,125,Taj Gibson,PF,31,25.5,4.7,9.1,0.515,0.0,0.2,0.231,4.6,8.9,0.52,0.517,1.4,2.0,0.715,2.0,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,CHI/OKC,78,25.5,-1.76,2.02,0.26,4.29,9.7,98.39,41,8.95,231.0,52.0,17.0
89,126,Marcin Gortat,C,32,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,WSH,82,31.2,-1.25,1.18,-0.07,5.01,10.9,99.85,49,12.0,315.0,1.0,1.0
90,128,Courtney Lee,SG,31,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,NY,77,31.9,0.58,-1.51,-0.93,3.4,7.7,97.86,29,11.24,337.5,2.0,1.0
91,129,Allen Crabbe,SG,24,28.5,3.8,8.2,0.46799999999999997,1.7,3.8,0.444,2.1,4.4,0.49,0.5720000000000001,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,POR,79,28.5,0.22,-2.87,-2.65,0.68,7.4,99.95,39,18.5,193.5,11.5,9.0
92,132,Buddy Hield,SG,23,23.0,4.0,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.8420000000000001,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,NO/SAC,82,23.0,-0.92,-2.28,-3.2,-0.09,8.4,98.9,31,3.52,811.5,512.0,333.0
93,133,Nikola Mirotic,PF,25,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,CHI,70,24.0,0.92,1.31,2.23,5.69,10.4,97.95,37,5.78,5.0,119.0,50.5
94,134,Marcus Smart,SG,22,30.4,3.4,9.5,0.359,1.2,4.2,0.28300000000000003,2.2,5.3,0.42,0.42200000000000004,2.6,3.2,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,BOS,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51,3.58,399.5,1.0,9.0
95,135,Marco Belinelli,SG,30,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,CHA,74,24.0,0.67,-1.87,-1.2,2.15,8.8,97.98,34,6.33,282.5,0.0,15.0
96,136,Wayne Ellington,SG,29,24.2,3.7,9.0,0.41600000000000004,2.4,6.4,0.37799999999999995,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,MIA,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35,6.0,204.0,18.0,12.0
97,139,Tyreke Evans,SF,27,19.7,3.8,9.3,0.405,1.1,3.0,0.35600000000000004,2.7,6.3,0.429,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,NO/SAC,40,19.7,-1.52,0.02,-1.5,0.81,11.8,98.53,17,10.2,701.0,6.0,9.0
98,140,Cody Zeller,PF,24,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,4.1,7.1,0.5720000000000001,0.5710000000000001,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,CHA,62,27.8,-0.07,3.42,3.35,6.97,9.6,97.57,33,5.32,376.5,90.0,29.0
99,142,Draymond Green,PF,26,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.48100000000000004,2.0,2.8,0.7090000000000001,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,GS,76,32.5,1.55,5.59,7.14,16.84,11.7,103.34,62,15.33,2946.0,627.0,168.5
100,144,Jusuf Nurkic,C,22,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,3.2,0.5710000000000001,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2,DEN/POR,65,21.4,-2.11,2.73,0.62,3.32,11.7,100.65,34,1.92,3.0,45.0,43.5
101,145,Josh Richardson,SG,23,30.5,3.8,9.7,0.39399999999999996,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,MIA,53,30.5,-1.63,0.06,-1.57,1.57,6.9,97.52,23,1.47,192.0,42.0,10.0
102,146,Kyle Korver,SG,35,26.2,3.6,7.7,0.46399999999999997,2.4,5.4,0.451,1.1,2.3,0.494,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,ATL/CLE,67,26.2,-0.15,-2.61,-2.76,0.41,8.1,100.0,33,5.24,842.5,107.5,30.5
103,148,Trevor Booker,PF,29,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,BKN,71,24.7,-2.29,2.0,-0.29,3.3,12.7,103.12,18,9.25,160.5,16.5,8.0
104,151,Maurice Harkless,SF,23,28.9,4.1,8.1,0.503,0.9,2.5,0.35100000000000003,3.2,5.6,0.5720000000000001,0.5579999999999999,1.0,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0,POR,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38,8.99,204.5,0.0,14.5
105,154,Jamal Murray,SG,19,21.5,3.6,8.9,0.40399999999999997,1.4,4.2,0.33399999999999996,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,DEN,82,21.5,0.06,-1.57,-1.51,1.86,7.8,101.15,40,3.21,411.0,0.0,62.5
106,157,Kenneth Faried,PF,27,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,3.7,6.7,0.556,0.5479999999999999,2.1,3.1,0.693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,9.6,DEN,61,21.2,-0.07,-1.55,-1.62,1.27,12.4,100.81,29,12.08,376.5,14.0,8.0
107,158,E'Twaun Moore,SG,27,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,NO,73,24.9,-0.24,-1.58,-1.82,1.5,7.3,100.16,32,8.08,151.0,0.0,10.0
108,160,Derrick Favors,PF,25,23.7,4.1,8.3,0.48700000000000004,0.1,0.2,0.3,4.0,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,UTAH,50,23.7,-2.76,2.06,-0.7,1.73,10.8,92.72,33,11.05,295.0,25.0,6.5
109,161,Patty Mills,PG,28,21.9,3.4,7.8,0.44,1.8,4.4,0.414,1.6,3.3,0.474,0.5579999999999999,0.8,1.0,0.825,0.3,1.5,1.8,3.5,0.8,0.0,1.3,1.4,9.5,SA,80,21.9,2.53,-1.26,1.27,4.86,10.0,98.97,60,3.58,522.0,112.0,19.0
110,162,Nik Stauskas,SG,23,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.9,0.813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,PHI,80,27.4,-0.32,-2.25,-2.57,0.78,6.7,100.28,27,2.99,451.0,28.0,11.0
111,163,Michael Beasley,PF,28,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,MIL,56,16.7,-1.7,-0.61,-2.31,0.48,11.6,97.91,23,1.4,939.0,8.0,5.0
112,164,Brandon Ingram,SF,19,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.44299999999999995,0.442,1.7,2.7,0.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,LAL,79,28.8,-1.76,-2.93,-4.69,-2.32,5.5,100.45,26,5.28,1203.0,194.0,100.0
113,166,Cory Joseph,PG,25,25.0,3.7,8.3,0.452,0.6,1.7,0.35600000000000004,3.1,6.6,0.47700000000000004,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,TOR,80,25.0,-0.5,-1.94,-2.44,0.86,8.9,97.43,49,7.32,516.5,48.5,15.0
114,167,Marquese Chriss,PF,19,21.3,3.5,7.7,0.449,0.9,2.7,0.321,2.6,5.0,0.52,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,PHX,82,21.3,-1.96,-1.82,-3.78,-0.76,6.3,103.56,24,2.94,252.0,0.0,22.0
115,168,Jeff Green,PF,30,22.2,3.2,8.1,0.39399999999999996,0.8,2.8,0.275,2.4,5.3,0.45799999999999996,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,ORL,69,22.2,-2.03,-1.31,-3.34,-0.21,7.7,98.84,26,15.0,14.0,57.5,28.5
116,169,Gerald Henderson,SG,29,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.8059999999999999,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,PHI,72,23.2,-1.51,-2.42,-3.93,-0.87,7.3,100.88,24,9.0,105.0,1.0,8.0
117,171,Michael Kidd-Gilchrist,SF,23,29.0,3.6,7.6,0.47700000000000004,0.0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,2.4,0.784,1.9,5.0,7.0,1.4,1.0,1.0,0.7,2.3,9.2,CHA,81,29.0,-1.97,2.47,0.5,5.31,9.3,97.79,36,13.0,575.5,29.0,11.0
118,172,Jameer Nelson,PG,34,27.3,3.6,8.1,0.444,1.4,3.6,0.38799999999999996,2.2,4.4,0.489,0.531,0.6,0.8,0.7140000000000001,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,DEN,75,27.3,0.45,-0.44,0.01,4.17,7.5,100.06,34,4.54,369.0,0.0,9.0
119,173,Tony Allen,SG,35,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,MEM,71,27.0,-2.03,2.15,0.12,3.76,8.0,93.85,36,5.51,17.0,10.5,11.0
120,174,Channing Frye,C,33,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1.0,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,CLE,74,18.9,1.62,-0.58,1.04,3.7,10.1,98.14,44,7.81,445.0,8.0,4.0
121,177,Jodie Meeks,SG,29,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,ORL,36,20.5,-0.05,-1.6,-1.65,0.7,8.1,100.24,14,6.54,173.0,36.5,15.0
122,180,Kelly Olynyk,C,25,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0,BOS,75,20.5,-0.31,0.81,0.5,3.54,11.0,99.85,49,3.09,457.0,56.5,16.0
123,181,Evan Turner,SF,28,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.45399999999999996,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,POR,65,25.5,-3.04,0.15,-2.89,0.25,8.8,99.29,34,16.39,564.0,17.0,13.0
124,182,DeMarre Carroll,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,TOR,72,26.1,0.0,0.83,0.83,4.66,7.1,96.82,44,14.2,363.5,29.5,8.0
125,185,Al-Farouq Aminu,SF,26,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,POR,61,29.1,-1.86,3.13,1.27,4.86,9.2,98.38,33,7.68,330.5,33.0,9.0
126,187,Nerlens Noel,C,22,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,2.2,0.6940000000000001,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7,DAL/PHI,51,20.5,-1.33,2.58,1.25,2.95,12.7,98.69,24,4.38,663.0,105.0,64.0
127,188,Marreese Speights,C,29,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,LAC,82,15.7,0.67,0.69,1.36,3.66,11.4,97.43,51,1.4,564.5,80.0,12.0
128,193,Tyson Chandler,C,34,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,PHX,47,27.6,-1.06,2.2,1.14,3.55,13.1,101.88,15,12.42,832.0,29.0,9.0
129,195,Troy Daniels,SG,25,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,MEM,67,17.7,-0.02,-2.1,-2.12,0.72,6.5,95.85,33,3.33,106.0,30.0,10.0
130,197,Willy Hernangomez,C,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.5379999999999999,0.5329999999999999,1.3,1.7,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2,NY,72,18.4,-0.75,0.4,-0.35,2.37,13.3,99.12,27,1.44,2.0,0.0,55.5
131,198,Caris LeVert,SF,22,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.5710000000000001,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,BKN,57,21.7,-0.46,-0.84,-1.3,1.53,8.6,104.52,15,1.56,198.5,0.0,28.0
132,200,Willie Cauley-Stein,C,23,18.9,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,0.532,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,SAC,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29,3.55,456.5,0.0,17.0
133,202,Ben McLemore,SG,23,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1,SAC,61,19.3,-2.88,-1.58,-4.46,-0.99,6.0,97.04,27,4.01,272.5,30.0,17.0
134,203,Tristan Thompson,C,25,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,CLE,78,29.9,-1.31,1.31,0.0,4.62,8.9,98.28,50,15.33,1365.5,368.0,211.0
135,204,Vince Carter,SF,40,24.6,2.6,6.7,0.39399999999999996,1.5,4.1,0.37799999999999995,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,MEM,73,24.7,1.36,-0.06,1.3,4.81,7.8,95.02,36,4.26,2891.5,0.0,7.0
136,205,Alex Len,C,23,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,PHX,77,20.3,-3.62,1.28,-2.34,0.81,9.5,103.52,21,4.82,270.0,10.5,6.0
137,207,Langston Galloway,PG,25,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.36700000000000005,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,NO/SAC,74,20.2,0.1,-1.65,-1.55,1.46,6.7,99.48,29,5.2,146.0,14.5,2.0
138,208,Shelvin Mack,PG,26,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,UTAH,55,21.9,-1.51,-1.28,-2.79,0.25,7.9,93.44,34,2.43,121.5,6.0,3.0
139,210,Rajon Rondo,PG,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.45299999999999996,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,CHI,69,26.7,-1.35,-0.49,-1.84,1.51,10.6,97.96,34,14.0,1765.0,185.5,74.0
140,211,Garrett Temple,SG,30,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.47600000000000003,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,SAC,65,26.6,-0.14,-0.46,-0.6,2.67,7.1,97.51,25,8.0,100.0,2.0,1.0
141,213,Matthew Dellavedova,PG,26,26.1,2.7,7.0,0.39,1.0,2.8,0.36700000000000005,1.7,4.2,0.40399999999999997,0.46299999999999997,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,MIL,76,26.1,-0.88,-1.01,-1.89,1.54,6.6,97.5,39,9.61,910.5,175.0,30.0
142,214,Luol Deng,SF,31,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,LAL,56,26.5,-1.87,1.54,-0.33,2.69,7.7,100.3,18,18.0,838.0,22.0,13.5
143,215,Andre Iguodala,SF,33,26.3,2.9,5.5,0.528,0.8,2.3,0.36200000000000004,2.0,3.1,0.6509999999999999,0.605,0.9,1.3,0.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,GS,76,26.3,2.01,1.52,3.53,8.72,10.2,101.92,64,11.13,1748.5,300.5,43.0
144,216,Manu Ginobili,SG,39,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,SA,69,18.7,1.43,1.0,2.43,4.64,8.7,100.94,51,14.0,53.0,299.0,66.0
145,224,Danny Green,SG,29,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2.0,0.42,0.523,0.4,0.5,0.8440000000000001,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3,SA,68,26.6,-0.45,1.71,1.26,4.83,6.9,94.47,51,10.0,6.0,0.0,15.0
146,225,David Lee,PF,33,18.7,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,SA,79,18.7,-0.38,1.5,1.12,3.98,12.6,98.36,58,1.55,42.0,56.5,35.0
147,227,Thabo Sefolosha,SF,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.49200000000000005,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,ATL,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32,3.85,280.0,28.5,17.5
148,229,Justin Anderson,SF,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24,1.51,4.0,5.0,10.0
149,232,Joe Ingles,SF,29,24.0,2.5,5.5,0.452,1.5,3.4,0.441,1.0,2.1,0.47100000000000003,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,UTAH,82,24.0,2.29,0.26,2.55,6.68,8.9,94.04,51,2.15,178.0,86.5,4.0
150,241,Jared Dudley,PF,31,21.3,2.5,5.4,0.45399999999999996,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,PHX,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17,10.47,184.0,31.0,4.0
151,243,Patrick Patterson,PF,27,24.6,2.4,5.9,0.401,1.4,3.9,0.37200000000000005,0.9,2.0,0.45799999999999996,0.523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,TOR,65,24.6,1.05,1.26,2.31,5.4,7.5,97.3,42,6.05,8.0,53.5,8.0
152,244,Bobby Portis,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.33299999999999996,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,11.0,97.38,30,1.45,193.0,37.0,73.0
153,244,Bobby Portis,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.33299999999999996,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,11.0,97.38,30,1.52,193.0,37.0,73.0
154,246,Brandan Wright,PF,29,16.0,3.0,4.8,0.615,0.0,0.0,0.0,3.0,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,MEM,28,16.0,-0.86,0.4,-0.46,0.71,11.6,93.54,14,5.71,152.5,0.0,6.0
155,247,Alec Burks,SG,25,15.5,2.4,5.9,0.39899999999999997,0.6,1.8,0.32899999999999996,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,UTAH,42,15.5,-2.47,-0.94,-3.41,-0.12,8.7,95.94,26,10.15,111.0,10.0,15.0
156,251,Dwight Powell,C,25,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.5710000000000001,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,DAL,77,17.3,-0.66,-0.51,-1.17,1.58,10.7,93.78,30,8.38,213.0,0.0,10.0
157,253,Jaylen Brown,SF,20,17.2,2.5,5.4,0.45399999999999996,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,-2.95,-0.42,-3.37,-0.21,7.1,99.02,50,4.74,441.0,0.0,100.0
158,254,Michael Carter-Williams,PG,25,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,CHI,45,18.8,-2.82,1.12,-1.7,0.77,7.0,98.47,25,3.18,645.0,0.0,5.0
159,255,Dante Cunningham,SF,29,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,NO,66,25.0,-0.37,-0.56,-0.93,2.29,6.8,99.77,28,2.98,97.5,0.0,3.0
